"STOCK LIST AS AT 06.04.26, 11.16AM",,,,,,
,,,,,,
,,,,,,
BIN,Item Code,Description,Desc 2,Total Bal. Qty,Cost,Item Group
,DW-BT-R-D-350X290X130,RECOATING BT REACH TRUCK DRIVE WHEEL 350MMX290MMX130MM [DURA],350X290X130,0,500,WHEEL
,DW-BT-R-D-350X290X130/140,RECOATING BT REACH TRUCK DRIVE WHEEL 350MMX290MMX130/140MM [LNM],350X290X130/140 [RRB7],4,500,WHEEL
,DW-BT-R-D-350X290X140,RECOATING BT REACH TRUCK DRIVE WHEEL 350MMX290MMX140MM ~80MM [LNM],350X290X140 [RRE160],1,500,WHEEL
,DW-BT-R-D-350X290X140-,RECOATING BT REACH TRUCK DRIVE WHEEL 350MMX290MMX140MM ~90MM [LNM],350X290X140 [RRE160],0,500,WHEEL
,DW-TYT-R-330X194@193X145 [NH],RECOATING TOYOTA DRIVE WHEEL 330MMX193MM@194MMX145MM [6/7FBR] [PU] 2IN1,330X194@193X145,0,588,WHEEL
,LW-8FBRE-R-280X250X100,RECOATING 8FBRE LOAD WHEEL 280MMX250MMX100MM [PU],280X250X100,0,363,WHEEL
,RRB7-B8 350*127,7 HOLE TYRE DRIVE WHEEL,,0,578.73,WHEEL
WHEEL,1115-220000-A0,DRIVING WHEEL 210X70,EPT12-EZX,5,228.09,WHEEL
WHEEL,1120-200001-00,DRIVING WHEEL 230X75,RPL201,5,215,WHEEL
WHEEL,1124-220000-00,DRIVING WHEEL 245X94,WPL201,2,597.52,WHEEL
WHEEL,1220-142001-00-01,BALANCE WHEEL 130X55X50,RPL201 [SUPPORT WHEEL POWER TRUCK],4,70,WHEEL
WHEEL,2130-140001-00,"LOAD WHEEL(WITHOUT BEARINGS,PU φ101.6*73)",,4,58.53,WHEEL
WHEEL,508098520003,MAIN STEERING WHEEL PTE15N,DRIVE WHEEL ,3,160.218,WHEEL
WHEEL,940300300020,REAR WHEEL SIZE 150x54 FOR TRUCK PS16DL,150X54,1,93.43,WHEEL
