"STOCK LIST AS AT 06.04.26, 11.16AM",,,,,,
,,,,,,
,,,,,,
BIN,Item Code,Description,Desc 2,Total Bal. Qty,Cost,Item Group
B02-05,BTP152064,DUST SHIELD,S-00114T [4585073],5,68.5,S/PARTS
B02-06,BTP137720,SCREW LOOP [TVH/28160086],,3,5.08,S/PARTS
B02-06,BTP21997,MOUNT RUBBER,RWE120,3,10.33,S/PARTS
B02-07,BTP29590,CAGE COVER NUT,S-00093T,26,9.6,S/PARTS
B02-07,BTP7519461,NUT SPECIAL RRE160,15X15XM10X1.5,4,28,S/PARTS
B02-08,BTP173037,CAGE COVER NUT M8X1.25P (SMALL),S-02023  [ 7447148 ],13,4.75,S/PARTS
B02-09,S-00128,CARBON BRUSH P/S MOTOR 8X8X21 [BT],8X8X21,36,18,S/PARTS
B02-10,S-01365,CARBON BRUSH 6MMX7.5MMX17MM [BT NEW MODEL],S-01365SL,13,18,S/PARTS
B02-11,BTP141840J,STEERING KNOB [BT] MODIFIED,S-02317,4,60,S/PARTS
B02-12,BTP217876,CAP PLASTIC,S-01782T,13,38.25,S/PARTS
B02-13,BTP147634,POWER STEERING MOTOR LAMINA - BT,S-00124,5,48.3,S/PARTS
B02-14,BTP151474-001,JOYSTICK RUBBER,S-00115 TVH/4146947,11,23.47,S/PARTS
B02-15,B02-15,LOOSE PARTS-JOYSTICK ELECTRONIC,LOOSE PARTS,,,S/PARTS
B02-16,BTP201893,ELECTRICAL JOYSTICK,S-02007,4,980,S/PARTS
B02-17,TVH/11927754,HORN 48V [BT RT],S-00084,3,101.92,S/PARTS
B02-18,BTP28555,IGNITION SWITCH @ BT KEY SWITCH,S-00123T,2,139.63,S/PARTS
B03-01,BTP134636,BONET LOCK SCREW,,2,23.36,S/PARTS
B03-01,BTP7539698,SENSOR,S-02194,5,220,S/PARTS
B03-02,BTP227581,SENSOR RRE160/180,S-02190,2,240,S/PARTS
B03-03,BTP241868,SENSOR LWE200,S-00811U,3,235,S/PARTS
B03-04,BTP21152,SIDE SHIFT WIRE WHEEL,S-00088,3,170,S/PARTS
B03-05,BTP29659,SIDE SHIFT SPRING,S-00085,17,11,S/PARTS
B03-06,BTP226931-001,SIDE SHIFT CABLE BRACKET,P-01216,35,18,S/PARTS
B03-07,BTP150585-001,CLAMP,,4,53.73,S/PARTS
B03-07,BTP31249,ROLLER SHAFT,S-00087,2,60,S/PARTS
B03-08,TVH/3320492,LEVER[BT],S-01794T,1,43.34,S/PARTS
B03-09,BTP217538,CUSHION BT RRB7,S-00090U,4,178.5,S/PARTS
B03-10,BTP141086,SUPPORT- PIECE OF CONNECTION,S-02191 [TVH/4586126],1,86.28,S/PARTS
B03-11,BTP151062,HOSE BRACKET,S-00089,1,98.62,S/PARTS
B03-11,BTP158208,WEAR PAD,TVH6214774,1,40.33,S/PARTS
B03-11,BTP158209,WEAR PAD,TVH6214775,1,49.93,S/PARTS
B03-12,BTP141085,WEAR PAD,S-02193 [TVH/4586129],6,105.61,S/PARTS
B03-13,B03-13,LOOSE PARTS-ROLLER,LOOSE PARTS,,,S/PARTS
B04-01,S-01682,COMPRESSION SPRING OD 7X31X1.5MM,S-01682SL,26,4,S/PARTS
B04-02,BTP253409,SHEAVE HOSE REEL,S-02107T,4,114.48,S/PARTS
B04-03,BTP253408,SHEAVE HOSE REEL,S-02109T,4,79.83,S/PARTS
B04-04,BTP253404,SHEAVE HOSE REEL,S-02108T,5,46.66,S/PARTS
B04-05,BTP7515796,ROLLER-C RRE160,S-02101 [17130267],6,318.7,S/PARTS
B04-06,BTP253405,SHEAVE HOSE REEL,S-02110T,7,53.53,S/PARTS
B04-07,BTP7501533,ROLLER 【RRE140-RRE250] 50X101.5X30,S-02100 [16846744] 18241649,5,348.56,S/PARTS
B04-08,TVH/7570518,SHEAVE HOSE REEL,S-00082T BTP182232,5,137.63,S/PARTS
B04-09,BTP182236,HOSE ROLLER COMPLATE [7570519],S-00083,4,153.41,S/PARTS
B04-10,BTP176014,CHAIN WHEEL [COMPLETE],TVH/4586095,2,217.94,S/PARTS
B04-11,BTP176012,CHAIN WHEEL [COMPLETE],,2,290.86,S/PARTS
B04-12,BTP216536,CARRIAGE BEARING RRE250 [45X109.3],268/216536 @ 11565137,2,464.81,S/PARTS
B05-00,BTP200841-001,RUBBER DUST GUARD SWE120,,3,200,S/PARTS
B05-01,S-01908,BT LOAD WHEEL BUSH,S-01908JIT,8,15,S/PARTS
B05-02,BTP260595,MAST ROLLER RRE160,16846590 [STEER PLUG],4,179.63,S/PARTS
B05-02,BTP7529134,GUIDE PIN,S-02102 [19739635],8,107.14,S/PARTS
B05-03,BTP21903,LOCK SPRING,S-01755U,3,18.7,S/PARTS
B05-04,S-00099,RR LOAD WHEEL AXLE,,0,100,S/PARTS
B05-05,BTP28551,NILOS RING,,4,58.43,S/PARTS
B05-05,MB10 SKF,LOCK WASHER MB 10,S-02004,8,6,S/PARTS
B05-06,S-00095,LOCK WASHER,20114,5,3.39,S/PARTS
B05-07,S-00108,MOTOR TERMINAL,170373,3,176.26,S/PARTS
B05-08,S-00109,SCREW,160913-280,4,25,S/PARTS
B05-09,BTP164831,ELECTRIC MOTOR FAN,S-00107T [TVH/584768],3,212.91,S/PARTS
B05-10,BTP138926,HYDRAULIC FILTER - AC MODEL[TVH3025779],S-00103T,6,206.21,S/PARTS
B05-11,BTP258241,SERVICE FILTER KIT[14596989]HYD FILTER[BT],S-01788T,2,213.8,S/PARTS
B05-12,BTP7683672,PEDAL RRE,"BTP7559494 , BTP7503672",2,1650,S/PARTS
B06-01,BTP237388 - S,TACHOMETER - SERVICE - USED,S-01659,0,70,S/PARTS
B06-02,BTP237388,TACHOMETER RRB2/RRM14-M14/15,S-01266U,5,1050,S/PARTS
B06-03,BTP101423,MAST ROLLER 8FBRE16S,TVH/1496480,2,180.52,S/PARTS
B06-03,BTP241620,HEXAGON SOCKET HEAD CAP SCREW,S-01314T,2,5.29,S/PARTS
B06-04,S-00100,RR LOAD WHEEL SLEEVE,,1,100,S/PARTS
B06-05,BTP239163,SHIM [BUSH RRE200],S-01316T [TVH/16846254],2,38.25,S/PARTS
B06-05,BTP239164,SHIM [BUSH RRE200],S-01315T,1,92.85,S/PARTS
B06-06,BTP163658,HYDRAULIC COVER,S-00116,3,73.56,S/PARTS
B06-07,BTP105814,CHAIN PIN,TVH/2183305,7,15.07,S/PARTS
B06-07,BTP232184,STOP SCREW M40X3.0,,4,70,S/PARTS
B06-07,BTP26959,CHAIN PIN,TVH/154275,3,13.66,S/PARTS
B06-08,BTP143224,GAS SPRING-SHOCK ABSORBER SUBS TO BTP7548473,S-00112T    [3400501],4,324,S/PARTS
B06-09,BTP143488-002,HANDLE SUSPENSION CABLE [BT],S-01197,3,70,S/PARTS
B06-10,TVH/4400827,BRACKET TILTING CYLINDER,S-00092 @ BT2521922,6,64.44,S/PARTS
B06-11,BTP259501,AXLE PIN,,6,35,S/PARTS
B06-11,BTP259509,BUSHING,,5,7.28,S/PARTS
B06-11,BTP44110,SCREW LOCK BUSH,S-00111,4,15.11,S/PARTS
B06-12,BTP7529374,WEAR PAD,S-00091T [TVH/19739636],2,23.42,S/PARTS
B06-13,TVH/3398582,BATTERY LOCK SCREW,S-00110  [TVH/3398582],4,78.51,S/PARTS
B06-14,BTP234365,HANDLE RRE180,BATTERY LOCK PULLER,3,34,S/PARTS
B06-15,BTP224558,JOYSTICK ELECTRICAL RRE,,2,850,S/PARTS
B06-16,BTP258479,DRIVE SPEED SENSOR SWE120,TVH/14596993,2,713.08,S/PARTS
B06-16,BTP7503414,PRESSURE SENSOR-C RRE200[BT],TVH/14883979,2,424.94,S/PARTS
B07-01,BTP150898,GEAR (BT),S-00172T,2,611.59,S/PARTS
B07-02,BTP255117,INSULATOR ELECTRICAL,S-02099,2,486.59,S/PARTS
B07-03,BTP172622,MAGNET [BT RT] ,S-00130T,5,45.02,S/PARTS
B07-03,BTP20115,SLOTTED ROUND NUT,,4,25.83,S/PARTS
B07-04,BTP176013,CHAIN WHEEL [COMPLETE],P-01756 [TVH7453373],3,218.66,S/PARTS
B07-05,BTP171664,SAFETY SWITCH,S-00187T,2,36.5,S/PARTS
B07-06,BTP157387-050,MAGNET SWITCH,S-00131,4,200.68,S/PARTS
B07-07,BTP214259-050,"SENSING DEVICE, RRB7  [9408282]",S-00132U,3,188.9,S/PARTS
B07-08,BTP258250,CAP [LOGO BT],S-02104,5,115,S/PARTS
B07-09,BTP143384,CABLE LOCK,TVH/8090477,4,5.11,S/PARTS
B07-09,BTP7565912,HEIGHT INDICATOR WIRE [NEW MODEL],,1,11.16,S/PARTS
B07-09,S-00119,HEIGHT INDICATOR WIRE,BTP137718-002,1,17.33,S/PARTS
B07-10,BTP246966,WEAR PAD,S-02105,4,8,S/PARTS
B07-11,BTP136060,MAGNET SENSOR MOUNTING,TVH/2245763,25,20.69,S/PARTS
B07-11,BTP28972,MOUNTING (HEXAGOUNAL  NUT),S-00134,34,1.31,S/PARTS
B07-12,BTP138127,LIMIT SWITCH [HEIGHT INDICATOR],S-00120T,1,112.92,S/PARTS
B07-13,BTP22417,MOUNTING WASHER,S-00133T,35,0.6,S/PARTS
B07-13,BTP243770,SENSOR SWE120,,2,205.55,S/PARTS
B07-14,BTP7546341,"PEDAL RRE160,180,200",S-02130,0,500,S/PARTS
B07-15,BTP7683671,PEDAL RRE,S-02266,2,1650,S/PARTS
B08-01,BTP164218,"CLAMP, BT-RRB2-7",S-00069U,5,34,S/PARTS
B08-02,BTP145062,CUSHION,S-00142,4,89.23,S/PARTS
B08-03,BTP201244,BAND CLAMP[BT],TVH/8668140,9,42.95,S/PARTS
B08-04,BTP53200,PEDAL RUBBER BT-RR,S-00157,2,110.5,S/PARTS
B08-05,BTP213165,MAGNET SENSOR BRACKET,S-00136,1,315.89,S/PARTS
B08-06,BTP53201,PEDAL RUBBER,S-00144,2,70.63,S/PARTS
B08-07,BTP145063,CUSHION [STEERING],S-01648T,2,239.53,S/PARTS
B08-08,BTP172996,CUSHION,S-02149 [TVH7447907],3,64.65,S/PARTS
B08-09,BTP217539,"CUSHION,RRB7",S-01115,2,667.25,S/PARTS
B08-10,BTP143294,SEAT CUSHION,S-01187T,2,470.1,S/PARTS
B08-11,BTP151384-001,SHIM SPECIAL SHAPE @ MAST LINER SHIM,[0.2 X 40 X 348MM],40,20,S/PARTS
B08-11,BTP151384-003,SHIM SPECIAL SHAPE @ MAST LINER SHIM,S-00079T [0.2 X 40 X 398MM],33,22,S/PARTS
B08-11,BTP151384-005,SHIM SPECIAL SHAPE @ MAST LINER SHIM,[0.3 X 40 X 348MM],15,24,S/PARTS
B08-11,BTP151384-007,SHIM SPECIAL SHAPE @ MAST LINER SHIM,[0.3 X 40 X 398MM],23,26,S/PARTS
B08-11,S-02494,SHIM SPECIAL SHAPE @ MAST LINER SHIM,[0.7 X 40 X 398MM],11,10,S/PARTS
B09-01,BTP177029,HANDLE BT[PT],S-00649U,5,25.5,S/PARTS
B09-02,BTP220822,BUTTON,S-01675 ,4,78.48,S/PARTS
B09-03,BTP171666,BUTTON  [LPE240[/PT],S-00994U,8,195,S/PARTS
B09-04,BTP171665,PUSH BUTTON,S-01681T,7,187,S/PARTS
B09-05,BTP209224,HORN 24V [7878666] [BT PT],S-00190T,2,86.48,S/PARTS
B09-06,BTP171583,SYMBOL PLATE,S-02164 [TVH/7570394],8,6.76,S/PARTS
B09-07,BTP167836,EMERGENCY BUTTON SPRING,S-01676U,11,17,S/PARTS
B09-07,BTP203401,SWITCH SWE120,,2,757.73,S/PARTS
B09-08,BTP144720,SLIDE BLOCK [SWE],S-01608T,3,13.29,S/PARTS
B09-09,BTP167835,PART TILLER HEAD,,2,39.74,S/PARTS
B09-10,BTP136135,WHEEL BRACKET COMPLETE SET SWE120,2352985,1,487.88,S/PARTS
B10-01,BTP119682,CONTACT SET (SINGLE),S-00167T [TVH1201644],2,67.12,S/PARTS
B10-01,BTP119683,CONTACT SET (DOUBLE),S-00166T [TVH1201643],2,123.38,S/PARTS
B10-02,1601217,CONTROL VALVE LINK,S-00122,2,98.66,S/PARTS
B10-03,BTP167847,HORN PUSH R,S-02027T [7219999],7,10.98,S/PARTS
B10-03,BTP167848,HORN PUSH L,S-02026T [7220001],5,13.4,S/PARTS
B10-04,BTP167287,SENDER SWITCH [PRESSURE TRANSDUCER],"S-00121T TVH/7447879 , BTP7529542",1,242.4,S/PARTS
B10-05,BTP154550,COVER,S-02120 [TVH/1264017],9,41.76,S/PARTS
B10-05,BTP173916,CONTACT,S-02122 [TVH/260729],6,21.44,S/PARTS
B10-05,BTP173917,CONTACT,S-02121 [TVH/261214],6,41.03,S/PARTS
B10-06,BTP7550594,STEERING ARM[POWER TRUCK],S-00078T      [BTP7595148],1,172.16,S/PARTS
B10-07,BTP145344-001,HYD PUMP RETURN HOSE BT,5'' X 25MM ANTI-STATIC OIL HOSE [TX-DPR3025-1''],2,6.4,S/PARTS
B10-07,BTP28519,P/S MOTOR SCREW,M10 X 20MM SHOULDER BOLT,8,1.9,S/PARTS
B10-07,S-01594,BT POWER TRUCK SCREW,M10 X 16MM SHOULDER BOLT,8,1.8,S/PARTS
B10-08,BTP155568,SWITCH [CONTACT DEVICE],S-00118T   [TVH4563072],4,26.39,S/PARTS
B10-09,BTP155567,PUSH BUTTON (RED) KENAIDA LA167-D7-11ZS E/STOP ,SUBSTITUTED BTP7670934 S-00117T TVH/4563071,11,14.5,S/PARTS
B10-10,BTP25299,AIR BLEEDER,,3,12.43,S/PARTS
B10-10,BTP29639,FITTING RRB7,,2,17.93,S/PARTS
B10-11,BTP141082-002,SHIM SPECIAL SHAPE,,5,29.07,S/PARTS
B10-12,BTP141082-001,SHIM SPECIAL SHAPE,,6,29.17,S/PARTS
B10-13,BTP157764,WHEEL HOLDER LPE200,SUBS TO BTP7533553,2,224.91,S/PARTS
B11-02,BTP147916,CONTROL CABLE ,[SWE120] 3401158,5,110.12,S/PARTS
B11-02,BTP228989,SENSOR BEARING RRE,,4,1650,S/PARTS
B11-02,BTP7615706,BRAKE COIL COMPLETE SWE120 Substituted with BTP7717140,Substituted with BTP7717140,0,850,S/PARTS
B11-02,S-02458,BRAKE DISC SWE120,96MM X 2 32T ,0,110,S/PARTS
B11-03,S-01601,BRAKE COIL[LPE200/P20/LWE180]PT,S-01601SL[SERVICE],11,220,S/PARTS
B11-04,S-01313,"BRAKE COIL[PT] ""USED""",S-01313,,180,S/PARTS
B11-05,B11-05,LOOSE PARTS-BRAKE PAD,LOOSE PARTS,,,S/PARTS
B11-06,BTP175047,DISC BRAKE ELECTRIC,S-00943[6262148],4,279.19,S/PARTS
B11-07,BTP170393,DISC BRAKE ELECTRIC,S-01953 [TVH/6215221],2,770.76,S/PARTS
B11-08,BTP255853,DISC BRAKE ELECTRIC SWE120,SUBSTITUTE BTP7537910 / 19739669,3,432.82,S/PARTS
B11-09,S-02419,COVER 300MMX370MM RRB7,,2,250,S/PARTS
B12-01,BTP217537,CUSHION,S-01649T     [10719291],2,334.45,S/PARTS
B12-02,B12-02,LOOSE PARTS-PAD PADDLE,LOOSE PARTS,,,S/PARTS
B12-03,BTP130685,WHEEL FORK[2353186],S-00169T,4,175.4,S/PARTS
B12-04,B12-04,LOOSE PARTS-WHEEL FORK,LOOSE PARTS,,,S/PARTS
B12-05,BTP132523,WHEEL FORK,S-00185 TVH/1758196,7,197.2,S/PARTS
B12-06,TVH/1199330,WHEEL HOLDER,S-02246   ,4,170.83,S/PARTS
B13-01,BTP154488,"PROTECTION, COVER BT-RRB2-7",,1,323,S/PARTS
B13-01,BTP256122-001,PROTECTION COVER,,1,531.25,S/PARTS
B13-02,BTP224582,COVER - C,S-01722,,412.25,S/PARTS
B14-01,BTP169271,PROTECTION COVER,S-01974 TVH/6831700,3,19.89,S/PARTS
B14-01,BTP169272,PROTECTION,S-01975 TVH/6831701,1,16.32,S/PARTS
B14-01,BTP169283,PROTECTION COVER [W/LWE],S-02036 ,6,93.5,S/PARTS
B14-01,BTP169284,PROTECTION COVER [P/LPE],S-02006 [268/169284],4,43.87,S/PARTS
B14-02,S-01685,MACHINE COLLER[P/T] 20X76X13,S-01685J,10,18,S/PARTS
B14-03,BTP134468,AXLE/PIN,S-01688T,4,88.04,S/PARTS
B14-04,BTP225787,BRACKET,S-02093,8,21.14,S/PARTS
B14-05,BTP213289,AXLE LPE,S-00170,10,69,S/PARTS
B14-06,S-01294,LOCK PIN [BT] 25X60,S-01294J,7,55,S/PARTS
B14-07,BTP162882,AXLE P20 / PIN,S-00171T,6,57.79,S/PARTS
B14-08,BTP167841,ROCKER [TVH7253441] - BUTTERFLY PT/STACKER LH,S-01906T,3,14.15,S/PARTS
B14-08,BTP167842,ROCKER [TVH7253448] - BUTTERFLY PT/STACKER RH,,4,14.53,S/PARTS
B14-09,BTP147049,DUST GUARD,S-01737T   [1276320],3,75.87,S/PARTS
B14-10,BTP180189,TRUST BEARING LPE200,S-02185,1,615,S/PARTS
B14-11,BTP246448,HOUSING,,2,93.5,S/PARTS
B15-01,BTP110803,SCREW LT2200/PPT1600-A,S-01250U,27,8.5,S/PARTS
B15-01,BTP21393,WASHER LT2200/PPT1600-A,S-01955 [TVH/16745194],12,1.18,S/PARTS
B15-01,S-00148,M10 X 14 X 0.3MM WAVE WASHER,S-00148,43,0.45,S/PARTS
B15-02,S-01368,SUPPORT WHEEL SCREW [PU],M10 X 90MM HT 8.8 DIN 931 HEX BOLT + M10 X 1.5P DIN 985 NYLON LOCK NUT ZINC,28,0.5,S/PARTS
B15-03,BTP20008,RETAINING RING STACKER,TVH/983775,29,1.85,S/PARTS
B15-03,S-01407,CLIP E19 E,,29,1.5,S/PARTS
B15-03,S-02455,M16 X 35MM SUS 304 DIN 933 HEX BOLT,MAST STACKER,6,3,S/PARTS
B15-04,S-00179,M12X100MM DIN 7991 CSK CAP SCREW,PT LOAD WHEEL SCREW,22,2.5,S/PARTS
B15-05,BTP225279-001,AXLE/PIN[POWER TRUCK],S-00158,6,62.52,S/PARTS
B15-05,TX-GE-R-12L6-B,MALE STUD CONNECTOR BODY + B.S,BT STACKER,3,8,S/PARTS
B15-06,S-00180,PT COVER SCREW,M8X80MM ISO 7380 BUTTON CAP SCREW,57,1.5,S/PARTS
B15-07,BTP134521,AXLE PIN[POWER TRUCK],S-00924T [TVH/2352879],4,33.12,S/PARTS
B15-08,S-00181,PT COVER SCREW,M8X16MM ISO 7380 BUTTON CAP SCREW,43,0.45,S/PARTS
B15-09,BTP136140,BUSHING[COPPER PIN]POWER TRUCK,S-01201T TVH/2352986,8,17.42,S/PARTS
B15-10,BTP101097,DRIVE MOTOR NUT,,5,11.34,S/PARTS
B15-10,BTP164908,NUT SPECIAL,S-01358T,2,29.85,S/PARTS
B15-10,BTP253621,NUT SPECIAL,S-02047T [TVH14596911],7,8.8,S/PARTS
B15-11,133266,GUIDE BUSH,S-00174,5,30.54,S/PARTS
B15-11,S-02433,PIN SUB 17X124,,3,20,S/PARTS
B15-12,S-01656,AXLE BUSH BT 150126-076 [25X13X76]PT,S-01656JIT,10,22,S/PARTS
B15-13,144714,CHAIN WHEEL,S-00173,5,300,S/PARTS
B15-14,BTP148763,SIDE PLATE,S-00183,1,80.75,S/PARTS
B15-14,S-00184,SUPPORT PLUG,,5,0,S/PARTS
B15-16,BTP237580,WIRE HARDNESS,TVH/34242463,2,774.33,S/PARTS
B15-16,BTP7579666,WIRE HARDNESS SWE120,,0,963.51,S/PARTS
B16-01,BTP660034,GAS SUSPENSION PPS1400MX,TVH/1201646 [subs with BTP122314-008],1,73.13,S/PARTS
B16-01,BTP7531322,SILENT BLOCK SPE120,TVH/17029873,6,21.78,S/PARTS
B16-01,BTP7549160,CAP PLASTIC SPE120,TVH/30884664,4,27.05,S/PARTS
B16-01,TVH/5585424,GAS SUSPENSION (600N),S-00194T,5,68.97,S/PARTS
B16-02,BTP238862-400,GAS SUSPENSION (400N),TVH/1201646 / S-00195T,4,79.83,S/PARTS
B16-03,BTP200250-810,GAS SUSPENSION (810N) subs BTP238865-810,TVH/1201645 / S-00193T,5,81.88,S/PARTS
B16-04,S-01167,CARBON BRUSH HOLDER[BIG],<65X105> PT,0,130,S/PARTS
B16-04,S-01645,CARBON BUSH HOLDER COMPLETE[SMALL HOLE],S-01645,0,390,S/PARTS
B16-05,55881-31700-71,GAS SUSPENSION BOLT [ROD END WITHOUT SPHERICAL BEARING],S-00198,11,2.95,S/PARTS
B16-05,BTP254287,GAS SPRING -SHOCK 300N,S-00199 subs to BTP7600561,2,185,S/PARTS
B16-05,S-01363,CARBON HOLDER9X16,S-01363SL,,380,S/PARTS
B16-05,TVH/6831850,GAS SUSPENSION (150N),TVH/6831850,2,77.88,S/PARTS
B16-06,BTP144876-001,AXLES AND PIN,SWE,2,19.34,S/PARTS
B16-06,BTP24000,RETAINING RING,SWE,2,1.16,S/PARTS
B16-07,BTP251548,MOUNT RUBBER 8X20X25  LWE180,,4,9.43,S/PARTS
B16-08,BTP252749,GAS SPRING SHOCK ABSORBER SWE120,,4,133.68,S/PARTS
B16-09,BTP7513011,SCREW M8 X 1.25P X 20MM,,15,0,S/PARTS
B16-10,BTP233772,SWITCH,14364148,1,27.63,S/PARTS
B16-11,BTP254380,PUSH BUTTON-C LWE180,14596921,2,47.12,S/PARTS
B16-12,BTP238957,CONTACT BLOCK HOLDER,14031567,2,7,S/PARTS
B17-01,BTP222929,WHEEL,S-01721T,7,29.26,S/PARTS
B17-02,TVH/12507445,WHEEL HOLDER,S-01720T          [12507445],6,110.03,S/PARTS
B17-03,BTP47150E,WHEEL,S-01736T,10,5.78,S/PARTS
B17-04,TVH/7265461,WHEEL HOLDER,S-01510,4,41.51,S/PARTS
B17-05,BTP47151,BUSHING,S-00751T [553464],6,4.84,S/PARTS
B17-06,BTP148496,BUSHING,TVH/4584824,2,32.7,S/PARTS
B17-07,BTP254583,SUPPORT PIECE FO CONNECTION ~STOPPER,TVH/14596927,2,111.92,S/PARTS
B17-07,S-02457,STOPPER 8FBRE14S,BTP254583,0,100,S/PARTS
B17-08,BTP47133,AXLES & PIN [POLISH SHAFT 17MM],TVH/179469,2,16.47,S/PARTS
B17-09,BTP181907,MAST ROLLER STACKER,TVH/8234212,4,156.07,S/PARTS
B17-10,BTP7540951,HARNESS,SUBSTITUDE TO BTP7573840,1,1054.83,S/PARTS
B17-11,BTP211517,HANDLE BRACKET,,1,288.02,S/PARTS
B18-01,53211-23331-71,PANEL [53211-23331-71],S-02247,1,300,S/PARTS
B18-02,BTP182625,PROTECTION COVER,S-01293T [TVH/8437300],2,472.32,S/PARTS
B19-01,BTP139400,RR MASTER CYL,S-00104,2,353.24,S/PARTS
B19-02,BTP139690,HYDRAULIC FILTER DC MODEL,S-00106,3,267.31,S/PARTS
B19-03,BTP105388,"DAMPER, RUBBER",,7,25,S/PARTS
B19-03,BTP136937,MOUNT RUBBER,3264203,3,137.15,S/PARTS
B19-04,BTP259540,COIL CATRIDGE VALVE,TVH/15477656,1,389.67,S/PARTS
B19-05,S-02146,COLLER 20X25X96.5,,17,20,S/PARTS
B19-06,S-01973,COLLER 20X25X74,,6,20,S/PARTS
B19-07,BTP240661,PROTECTION COVER SWE,TVH/14596746,2,10.57,S/PARTS
B19-07,S-02495,COLLER 25X96X17,,10,22,S/PARTS
B19-08,BTP238306,SEAL 28X7 RCA,,3,5,S/PARTS
B20-01,BTP172643,CABLE LOOM  ,S-01941  [ 7284191 ],3,499.33,S/PARTS
B20-02,BTP218336,CABLE LOOM,S-01943 [10719328],3,487.54,S/PARTS
B20-03,BTP181571,HYDRAULIC VALVE,S-01877T,3,420.58,S/PARTS
B20-04,BTP181572,COIL CARTRIDGE VALVE[10698388],S-00985,3,189.6,S/PARTS
B20-05,BTP159283-080,SENSOR,4400884,1,1092.21,S/PARTS
B20-06,TVH/112TA9583,ANTI-STATIC STRAP(SHEATING),S-00143,3,22.13,S/PARTS
B20-07,BTP169088,LIMIT SWITCH,S-01114T   [TVH/6215194],2,270.97,S/PARTS
B20-08,TVH/11779473,CABLE LOOM / WIRING HARNESS,S-00988T,4,287.28,S/PARTS
B20-09,BTP162868,DIRECTION SWITCH,S-00999U,2,720,S/PARTS
B20-09,BTP246723,CID WIRE HARNESS,,1,1500,S/PARTS
B20-10,BTP145374-070,SENSING DEVICE,S-00987,2,309.21,S/PARTS
B20-10,BTP255119,SPEED SENSOR RRE200,TVH/14596942,0,598.07,S/PARTS
B20-11,BTP162498,PART LEVER,S-02045,2,93.5,S/PARTS
B20-11,BTP7516121,BUTTON RRE160 [DIRECTION SWITCH],,5,750,S/PARTS
B20-12,BTP257679-001,INDUCTIVE SWITCH [ PULSE SENSOR BT],S-00989 ,3,217.61,S/PARTS
B20-12,BTP257680-001,SENSOR[PT],S-01741T [TVH/8952931],4,229.25,S/PARTS
B20-13,BTP169083,HARNESS / CABLE LOOM,S-00986T [TVH/6831699],2,151.78,S/PARTS
B21-01,S-01491,SOLENOID VALVE HYDRAULIC,7264966 [BTP143371],0,373.75,S/PARTS
B21-02,BTP216049-004,LOG-ON UNIT 24/48V [KEYPAD],S-01976U [BTP216049-003],6,485,S/PARTS
B21-03,BTP7679029,"KEY PAD W18/20,P20 - UMW",S-00992U [SUBS FROM BTP171660],6,130,S/PARTS
B21-04,BTP156276,POTENTIOMETER,S-00984    [TVH4748992],4,147.13,S/PARTS
B21-05,BTP248310,CONTACTOR COMPLETE LWE200,S-02293 [Substituted with BTP7654812],4,215,S/PARTS
B21-05,TVH/38023768,CONTACTOR COMPLETE PC60-159,S-01298T [TVH/37822412] 48V,2,82.23,S/PARTS
B21-06,BTP208461,"SWITCH, P20/P24",S-01858U,5,195.5,S/PARTS
B21-07,BTP257679003,INDUCTION SWITCH - C [PT]  [9408226],S-00990T,2,207.72,S/PARTS
B21-08,103TA2687,FUSE 300A,S-00214,8,24.87,S/PARTS
B21-09,BTP225569,"SENSING DEVICE, STEERING",S-01379U [STEERING ANGLE SENSOR RRE],5,250,S/PARTS
B21-10,TVH/103TA2719,FUSE 160A   ,S-00202 [TVH4387598],12,6.1,S/PARTS
B21-11,TVH/9591,FUSE 200A,S-01948,13,29.78,S/PARTS
B21-12,169944,FUSE 125A,S-00204,10,16.45,S/PARTS
B21-12,TVH/1048769,FUSE 80A,,8,20.4,S/PARTS
B21-13,S-00203,FUSE 130A,130 AMP,0,5,S/PARTS
B21-14,TVH/103TA2714,FUSE 50A  ,S-00206 @21248,9,9.34,S/PARTS
B21-14,TVH/21249,FUSE 50A,S-01612,4,13.17,S/PARTS
B21-15,TVH/16968,FUSE 100A,S-00205,15,22.25,S/PARTS
B22-01,BTP249354,"CONTACTOR RRE140,160,180, 200,250,",SUBS TO BTP7654818 [14596865],1,451.48,S/PARTS
B22-02,BTP7654820,MAIN CONTACTOR RRB2,SUBS FROM BTP226716,2,505.75,S/PARTS
B22-03,BTP177911,P/T CONTACTOR COMPLETE,"TVH/6130425 [SUBS TO BTP226720
]",8,230,S/PARTS
B22-04,BTP226355,ROLLER BEARING [LOAD WHEEL BEARING] NEW MODEL,S-02248 [RRE250 / RRE140],4,387.61,S/PARTS
B22-05,BTP226409,BATTERY CONNECTOR,,6,810,S/PARTS
B22-06,BTP226408,BATTERY CONNECTOR,,5,280,S/PARTS
B23-01,508037010016,LITHIUM BATTERY 24V/20AH (FDE),NOBLELIFT PTE15N,0,894.24,S/PARTS
B23-01,BTP143228,PROTECTION COVER,S-01928 [3400205],3,226.67,S/PARTS
B23-02,BTP143229,PROTECTION COVER,S-02082 [3400503],2,342.77,S/PARTS
B24-01,BTP216366,COVER BOTTOM [BT RRB2-7] ,S-01211U,2,204,S/PARTS
